Date,Number of Campaigns,Time Zone,Currency,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
2021-06-02,1,UTC,USD,30,8,0.26666666666666666,4,0.5,13.875,27.75,111.0,1.0666666666666667,0.9090909090909091,,,,,
2021-06-01,1,UTC,USD,98,11,0.11224489795918367,3,0.2727272727272727,10.181818181818182,37.333333333333336,112.0,1.8775510204081634,0.8715596330275229,,,,,
2021-05-31,1,UTC,USD,84,10,0.11904761904761904,1,0.1,9.95,99.5,99.5,1.7261904761904763,0.9157894736842105,,,,,
2021-05-30,1,UTC,USD,57,9,0.15789473684210525,4,0.4444444444444444,12.0,27.0,108.0,1.7543859649122806,0.9354838709677419,,,,,
2021-05-29,1,UTC,USD,63,10,0.15873015873015872,7,0.7,10.1,14.428571428571429,101.0,1.7936507936507937,0.8157894736842105,,,,,
2021-05-28,1,UTC,USD,76,11,0.14473684210526316,2,0.18181818181818182,9.727272727272727,53.5,107.0,1.5921052631578947,0.9506172839506173,,,,,
2021-05-27,1,UTC,USD,121,11,0.09090909090909091,2,0.18181818181818182,9.0,49.5,99.0,1.7933884297520661,0.8840579710144928,,,,,
2021-05-26,1,UTC,USD,152,11,0.07236842105263158,1,0.09090909090909091,9.181818181818182,101.0,101.0,1.756578947368421,0.9333333333333333,,,,,
2021-05-25,1,UTC,USD,62,11,0.1774193548387097,4,0.36363636363636365,8.727272727272727,24.0,96.0,1.7741935483870968,0.8888888888888888,,,,,
2021-05-24,1,UTC,USD,95,13,0.1368421052631579,4,0.3076923076923077,7.923076923076923,25.75,103.0,2.1789473684210527,0.9223300970873787,,,,,
2021-05-23,1,UTC,USD,134,15,0.11194029850746269,6,0.4,6.866666666666666,17.166666666666668,103.0,1.9328358208955223,0.9246575342465754,,,,,
2021-05-22,1,UTC,USD,139,11,0.07913669064748201,6,0.5454545454545454,8.727272727272727,16.0,96.0,2.035971223021583,0.96,,,,,
2021-05-21,1,UTC,USD,116,12,0.10344827586206896,5,0.4166666666666667,8.541666666666666,20.5,102.5,2.163793103448276,0.8226950354609929,,,,,
2021-05-20,1,UTC,USD,109,11,0.10091743119266056,2,0.18181818181818182,8.454545454545455,46.5,93.0,2.036697247706422,0.7857142857142857,,,,,
2021-05-19,1,UTC,USD,135,13,0.0962962962962963,7,0.5384615384615384,7.846153846153846,14.571428571428571,102.0,2.2074074074074073,0.8414634146341463,,,,,
2021-05-18,1,UTC,USD,100,13,0.13,3,0.23076923076923078,7.230769230769231,31.333333333333332,94.0,2.51,0.7152777777777778,,,,,
2021-05-17,1,UTC,USD,77,10,0.12987012987012986,4,0.4,9.0,22.5,90.0,2.4545454545454546,0.84375,,,,,
2021-05-16,1,UTC,USD,114,13,0.11403508771929824,4,0.3076923076923077,8.307692307692308,27.0,108.0,2.3157894736842106,0.8914728682170543,,,,,
2021-05-15,1,UTC,USD,151,13,0.08609271523178808,6,0.46153846153846156,7.615384615384615,16.5,99.0,2.2119205298013247,0.8713450292397661,,,,,
2021-05-14,1,UTC,USD,86,13,0.1511627906976744,4,0.3076923076923077,7.615384615384615,24.75,99.0,2.616279069767442,0.9361702127659575,,,,,
2021-05-13,1,UTC,USD,133,14,0.10526315789473684,4,0.2857142857142857,7.678571428571429,26.875,107.5,2.443609022556391,0.8703703703703703,2,39.98,0.371906976744186,53.75,0.5
2021-05-12,1,UTC,USD,96,13,0.13541666666666666,3,0.23076923076923078,7.615384615384615,33.0,99.0,2.2604166666666665,0.9326923076923077,,,,,
2021-05-11,1,UTC,USD,110,14,0.12727272727272726,5,0.35714285714285715,7.178571428571429,20.1,100.5,2.2454545454545456,0.8518518518518519,,,,,
2021-05-10,1,UTC,USD,141,13,0.09219858156028368,4,0.3076923076923077,7.115384615384615,23.125,92.5,2.148936170212766,0.8421052631578947,,,,,
2021-05-09,1,UTC,USD,120,13,0.10833333333333334,6,0.46153846153846156,7.730769230769231,16.75,100.5,2.0833333333333335,1.0,,,,,
2021-05-08,1,UTC,USD,137,14,0.10218978102189781,3,0.21428571428571427,7.428571428571429,34.666666666666664,104.0,1.9562043795620438,0.9929577464788732,,,,,
2021-05-07,1,UTC,USD,153,12,0.0784313725490196,3,0.25,6.833333333333333,27.333333333333332,82.0,2.111111111111111,0.9878787878787879,,,,,
2021-05-06,1,UTC,USD,104,15,0.14423076923076922,3,0.2,6.533333333333333,32.666666666666664,98.0,2.25,0.6851851851851852,,,,,
2021-05-05,1,UTC,USD,86,11,0.12790697674418605,3,0.2727272727272727,6.5,23.833333333333332,71.5,2.116279069767442,0.8245614035087719,,,,,
2021-05-04,1,UTC,USD,101,12,0.1188118811881188,1,0.08333333333333333,6.625,79.5,79.5,2.267326732673267,0.6962025316455697,,,,,
